PatronBusqueda,MultiTienda,Descripcion,Precio,PrecioUF
notebook hp,Ripley,NOTEBOOK HP 240 G8 I3 1115G4 8GB256SSD 14IN W11H,515990,14.3
notebook hp,Ripley,NOTEBOOK HP OMEN 16-B0509LA I5 8GB 512GB SSD,1699990,47.11
notebook hp,Ripley,NOTEBOOK HP 240 G8 I3-1115G4 8GB 512GB SSD 14IN W11HOME,339990,9.42
notebook hp,Ripley,HP NOTEBOOK 245 RYZEN 5 5500U 8GB 1TB 14 SIN SISTEMA OPERATI,322991,8.95
notebook hp,Ripley,NOTEBOOKS HP 240 G8 INTEL I3-1005G1/ 4GB RAM/ 1TB HDD/ 14' HD/ W10H,299990,8.31
notebook hp,Ripley,HP NOTEBOOK 240 G8 I3 8GB 512GB SSD 14' W11 HOME 59C83LT,322991,8.95
notebook hp,Ripley,HP NOTEBOOK 240 G9 CELERON 14.0 8GB 256 SSD W11 HOME 6K015LT,214691,5.95
notebook hp,Ripley,NOTEBOOK HP 240 G9 CELERON N4500 8GB SSD 256GB 14IN W11H,219990,6.1
notebook hp,Ripley,NOTEBOOK HP PROBOOK 445 G8 RYZEN3 5400U 8GB 256GB SSD 14 PUG. W10 PRO,434990,12.05
notebook hp,Ripley,NOTEBOOK HP 240 G8 I5-1135G7 8GB 512GB SSD 14IN W11HOME,469990,13.02
tablet samsung,Ripley,"SAMSUNG GALAXY TAB S7 FE / 12.4"" / 64GB / WIFI / TECLADO + LÁPIZ / VERDE",439990,12.19
tablet samsung,Ripley,"SAMSUNG GALAXY TAB S6 LITE / 10.4"" / 64GB / WIFI / COVER / AZUL",299990,8.31
tablet samsung,Ripley,"SAMSUNG GALAXY TAB S8 / 11"" / 128GB / WIFI / TECLADO + LÁPIZ / ROSADO",649990,18.01
tablet samsung,Ripley,"SAMSUNG GALAXY BOOK3 / INTEL CORE I5 / 8GB RAM / 512GB SSD / 15.6"" FHD",649990,18.01
tablet samsung,Ripley,"SAMSUNG GALAXY BOOK3 / INTEL CORE I7 / 8GB RAM / 512GB SSD / 15.6"" FHD",749990,20.78
tablet samsung,Ripley,"SAMSUNG GALAXY BOOK3 PRO / INTEL CORE I7 / 16GB RAM / 512GB SSD / 14"" WQXGA",1449990,40.18
tablet samsung,Ripley,"SAMSUNG GALAXY TAB S6 LITE / 10.4"" / 64GB / WIFI + 4G / COVER / GRIS",319990,8.87
